Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8234308, -0.57983;"{""coordinates"": [-0.57983, 44.8234308], ""type"": ""Point""}";2553;236 Cours de L Argonne - Vers Rue Duluc;P21.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8415218, -0.5985528;"{""coordinates"": [-0.5985528, 44.8415218], ""type"": ""Point""}";2733;230 Rue George Mandel - Vers Boulevards Président Wilson;PC1.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8485658, -0.5630959;"{""coordinates"": [-0.5630959, 44.8485658], ""type"": ""Point""}";2635;75 Quai Queyries - Vers le Pont Chaban Delmas;P62.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8993599, -0.6398908;"{""coordinates"": [-0.6398908, 44.8993599], ""type"": ""Point""}";2725;Parc de Majolan avenue du Général de Gaulle - Vers Rue de la Forteresse;PY.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8165358, -0.5658209;"{""coordinates"": [-0.5658209, 44.8165358], ""type"": ""Point""}";2630;Rue de Bègles - Vers Boulevard Albert 1er;P59.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8147659, -0.5722948;"{""coordinates"": [-0.5722948, 44.8147659], ""type"": ""Point""}";2516;4 Boulevard Albert Ier - Vers Cours de la Somme;P2.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8189069, -0.5845579;"{""coordinates"": [-0.5845579, 44.8189069], ""type"": ""Point""}";2703;70 Cours Gambetta - Vers Rue Berthomé;PN.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8335748, -0.591113;"{""coordinates"": [-0.591113, 44.8335748], ""type"": ""Point""}";2566;170 Rue d Ornano - Vers Rue Héron;P27.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8200848, -0.5837728;"{""coordinates"": [-0.5837728, 44.8200848], ""type"": ""Point""}";2645;Cours Gambetta - Vers Centre de Talence;P67.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9111588, -0.7242159;"{""coordinates"": [-0.7242159, 44.9111588], ""type"": ""Point""}";2486;18 route de St Médard - Vers Route de Germignan;PT1-A.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8286948, -0.5942879;"{""coordinates"": [-0.5942879, 44.8286948], ""type"": ""Point""}";2518;221 Boulevard M. Leclerc - Vers Rue Jean Dandicolle;P3.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.7664229, -0.580152;"{""coordinates"": [-0.580152, 44.7664229], ""type"": ""Point""}";2432;60 route de Léognan - Vers Rue de la Paix;PG2.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9062308, -0.7151158;"{""coordinates"": [-0.7151158, 44.9062308], ""type"": ""Point""}";5832;Centre Saint Aubin vers Lycée;Z28CT101;4G;28;;2023-03-30T11:24:30+02:00;2023-03-30T11:24:30+02:00
44.8248958, -0.5078087;"{""coordinates"": [-0.5078087, 44.8248958], ""type"": ""Point""}";5834;Chemin de Crabot vers Bordeaux;Z32CT101;4G;32;;2023-03-30T11:34:29+02:00;2023-03-30T11:34:29+02:00
44.8248722, -0.5078273;"{""coordinates"": [-0.5078273, 44.8248722], ""type"": ""Point""}";5835;Chemin de Crabot vers Bouliac;Z32CT102;4G;32;;2023-03-30T11:36:19+02:00;2023-03-30T11:36:19+02:00
44.8768168, -0.5346159;"{""coordinates"": [-0.5346159, 44.8768168], ""type"": ""Point""}";2655;10 Quai Numa Sensine - Vers Place Aristide Briand;P73.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8376609, -0.5929178;"{""coordinates"": [-0.5929178, 44.8376609], ""type"": ""Point""}";2567;235 Rue George Bonnac - Vers Rue Pierre;P28.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8596409, -0.5553579;"{""coordinates"": [-0.5553579, 44.8596409], ""type"": ""Point""}";2532;72 Quai de Bacalan - Vers Rue de la Faïencerie;P10.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9452039, -0.4897179;"{""coordinates"": [-0.4897179, 44.9452039], ""type"": ""Point""}";2505;2 avenue Georges Clémenceau - Vers Rue de Sauvin;PZ1-B.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8435598, -0.575794;"{""coordinates"": [-0.575794, 44.8435598], ""type"": ""Point""}";2602;Allées de Tourny - Vers Place de la Comédie;P45.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8069989, -0.6929839;"{""coordinates"": [-0.6929839, 44.8069989], ""type"": ""Point""}";2467;Avenue de Courtillas / Chemin de la Princesse - Vers Rue Henri Yvonnet;PR2.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8580317, -0.6635033;"{""coordinates"": [-0.6635033, 44.8580317], ""type"": ""Point""}";4312;Avenue de Magudas sens sortant;Z24CT24;BOUCLE;24;1;2021-04-28T12:57:13+02:00;2026-09-24T10:15:00+02:00
44.9118959, -0.724213;"{""coordinates"": [-0.724213, 44.9118959], ""type"": ""Point""}";2487;1 route de Germignan - Vers Allée des Châtaigniers;PT1-B.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.7888649, -0.5907119;"{""coordinates"": [-0.5907119, 44.7888649], ""type"": ""Point""}";2687;240 Avenue de Thouars - Vers Chemins des Maures;PF.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
